"city_id","period_start","wait_time","treat","commute","trips_pool","trips_express","rider_cancellations","total_driver_payout","total_matches","total_double_matches"
"Kakariko","2022-02-19 07:00:00","2 mins",FALSE,TRUE,1416,3240,257,34422.411634112,3373,1476
"Kakariko","2022-02-19 09:40:00","5 mins",TRUE,FALSE,1461,2358,203,29781.3498206034,2284,1275
"Kakariko","2022-02-19 12:20:00","2 mins",FALSE,FALSE,1361,2188,118,27475.3673629901,2287,962
"Kakariko","2022-02-19 15:00:00","5 mins",TRUE,TRUE,1985,3584,355,45050.4529928284,4032,2021
"Kakariko","2022-02-19 17:40:00","2 mins",FALSE,FALSE,1369,2580,180,27603.9552954783,2199,979
"Kakariko","2022-02-19 20:20:00","5 mins",TRUE,FALSE,1401,2024,135,23838.1108478885,2072,1062
"Kakariko","2022-02-19 23:00:00","2 mins",FALSE,FALSE,1213,2541,104,29612.9056679408,2595,1406
"Kakariko","2022-02-20 01:40:00","5 mins",TRUE,FALSE,1693,2013,149,25794.869919853,1917,1281
"Kakariko","2022-02-20 04:20:00","2 mins",FALSE,FALSE,1250,2477,131,23192.9462878441,2626,1059
"Kakariko","2022-02-20 07:00:00","5 mins",TRUE,TRUE,1817,2541,284,33994.4738982427,2625,1565
"Kakariko","2022-02-20 09:40:00","2 mins",FALSE,FALSE,1593,2769,165,28030.3648018619,2725,855
"Kakariko","2022-02-20 12:20:00","5 mins",TRUE,FALSE,1630,2383,184,26016.4189028636,2483,1322
"Kakariko","2022-02-20 15:00:00","2 mins",FALSE,TRUE,1638,3289,237,39861.4015120548,3776,1969
"Kakariko","2022-02-20 17:40:00","5 mins",TRUE,FALSE,1175,1891,144,21974.7343108391,1890,998
"Kakariko","2022-02-20 20:20:00","2 mins",FALSE,FALSE,1852,2303,159,33274.0927276648,2233,1145
"Kakariko","2022-02-20 23:00:00","5 mins",TRUE,FALSE,1143,2416,182,25043.1827083308,2213,1104
"Kakariko","2022-02-21 01:40:00","2 mins",FALSE,FALSE,1487,1951,125,25430.060914892,1905,1120
"Kakariko","2022-02-21 04:20:00","5 mins",TRUE,FALSE,1557,2311,180,25144.4448831208,2121,990
"Kakariko","2022-02-21 07:00:00","2 mins",FALSE,TRUE,1914,3473,244,44917.1058485755,3579,1809
"Kakariko","2022-02-21 09:40:00","5 mins",TRUE,FALSE,1661,2321,183,27589.1359922487,2348,1309
"Kakariko","2022-02-21 12:20:00","2 mins",FALSE,FALSE,1036,3193,169,29238.9354728893,3039,1607
"Kakariko","2022-02-21 15:00:00","5 mins",TRUE,TRUE,1740,3392,290,40411.0185556034,4116,1690
"Kakariko","2022-02-21 17:40:00","2 mins",FALSE,FALSE,1596,2251,151,30563.2764888184,2278,1480
"Kakariko","2022-02-21 20:20:00","5 mins",TRUE,FALSE,1410,1633,154,24013.1819905297,1746,754
"Kakariko","2022-02-21 23:00:00","2 mins",FALSE,FALSE,1251,2559,164,27126.7744314152,2208,1329
"Kakariko","2022-02-22 01:40:00","5 mins",TRUE,FALSE,1304,2126,157,22806.5500698282,2182,728
"Kakariko","2022-02-22 04:20:00","2 mins",FALSE,FALSE,1270,2195,119,24945.3926977116,2011,1099
"Kakariko","2022-02-22 07:00:00","5 mins",TRUE,TRUE,1495,2375,274,28548.2830893252,2657,1442
